date,title,location,category,sentiment,casualties
1957-10-04,Sputnik 1 Launched by USSR,Baikonur Cosmodrome,launch,-0.5,0
1961-04-12,Yuri Gagarin Becomes First Man in Space,Earth Orbit,orbit,-0.2,0
1961-05-05,Alan Shepard Becomes First American in Space,Cape Canaveral,launch,0.6,0
1961-05-25,JFK Moon Speech to Congress,Washington D.C.,political_transition,0.8,0
1962-02-20,John Glenn Orbits the Earth,Earth Orbit,orbit,0.7,0
1965-03-18,Alexey Leonov Performs First Spacewalk,Earth Orbit,orbit,0.4,0
1965-06-03,Ed White Performs First US Spacewalk,Earth Orbit,orbit,0.6,0
1967-01-27,Apollo 1 Cabin Fire,Cape Kennedy,tragedy,-1.0,3
1968-12-21,Apollo 8 Launches to the Moon,Cape Kennedy,launch,0.8,0
1968-12-24,Apollo 8 Earthrise Photograph Taken,Lunar Orbit,triumph,1.0,0
1969-07-16,Apollo 11 Launches,Kennedy Space Center,launch,0.9,0
1969-07-20,Eagle Lunar Module Lands on the Moon,Sea of Tranquility,landing,1.0,0
1969-07-20,Neil Armstrong Takes the First Step,Sea of Tranquility,triumph,1.0,0
1969-07-24,Apollo 11 Safely Returns to Earth,Pacific Ocean,triumph,0.9,0
1969-11-14,Apollo 12 Launch Struck by Lightning,Kennedy Space Center,crisis,-0.6,0
1969-11-19,Apollo 12 Pinpoint Lunar Landing,Ocean of Storms,landing,0.8,0
1970-04-11,Apollo 13 Launches,Kennedy Space Center,launch,0.7,0
1970-04-13,Oxygen Tank Explodes on Apollo 13,Deep Space,crisis,-0.9,0
1970-04-17,Apollo 13 Crew Rescued Safely,South Pacific,triumph,0.8,0
1971-01-31,Apollo 14 Launches,Kennedy Space Center,launch,0.6,0
1971-02-05,Alan Shepard Hits Golf Ball on Moon,Fra Mauro Highlands,triumph,0.7,0
1971-07-26,Apollo 15 Launches,Kennedy Space Center,launch,0.6,0
1971-07-31,First Use of Lunar Roving Vehicle,Hadley Rille,landing,0.8,0
1972-04-16,Apollo 16 Launches,Kennedy Space Center,launch,0.5,0
1972-04-21,John Young Drives Rover "Grand Prix",Descartes Highlands,triumph,0.6,0
1972-12-07,Apollo 17 Launches (Night Launch),Kennedy Space Center,launch,0.7,0
1972-12-11,Last Humans Land on the Moon,Taurus-Littrow,landing,0.8,0
1972-12-14,Gene Cernan Leaves Last Footprints,Taurus-Littrow,triumph,0.5,0
1972-12-19,Apollo 17 Splashdown,Pacific Ocean,triumph,0.6,0
1975-07-17,Apollo-Soyuz Handshake in Space,Earth Orbit,peace_talks,0.9,0
